NIT;RAZÓN SOCIAL;SUPERVISOR;REGIÓN;DEPARTAMENTO DOMICILIO;CIUDAD DOMICILIO;CIIU;MACROSECTOR;INGRESOS OPERACIONALES;GANANCIA (PÉRDIDA);TOTAL ACTIVOS;TOTAL PASIVOS;TOTAL PATRIMONIO;Año de Corte
900053198;ALEXANDRA FARMS SAS;SUPERSOCIEDADES;Región Andina;BOGOTA D.C.;BOGOTA D.C.;125;AGROPECUARIO;6;1;5;2;3;2023
860001056;SANITARIO Y SABINCO SAS;SUPERSOCIEDADES;Región Andina;BOGOTA D.C.;BOGOTA D.C.;4663;COMERCIO;6;0;2;1;2;2023
860001781;INDUSTRIAS METALICAS ASOCIADAS IMAL S.A.;SUPERSOCIEDADES;Región Andina;BOGOTA D.C.;BOGOTA D.C.;2930;MANUFACTURA;6;0;6;4;2;2023
900188685;ELECTROSERVIMOS SA;SUPERSOCIEDADES;Región Andina;ANTIOQUIA;MEDELLIN;4663;COMERCIO;6;0;2;1;1;2023
900631361;INVERSIONES MEDICAS VALLE SALUD SAS  CLINICA VALLE SALUD;SUPERSALUD;Región Pacífica;VALLE DEL CAUCA;CALI;8610;SERVICIOS;6;1;6;3;4;2023
811001757;IDC INVERSIONES SAS;SUPERSOCIEDADES;Región Andina;ANTIOQUIA;MEDELLIN;4290;CONSTRUCCIÓN;6;0;10;3;7;2023
901523711;VACHE SAS ESP;SUPERSERVICIOS;Región Andina;BOGOTA D.C.;BOGOTA D.C.;3514;SERVICIOS;6;0;1;0;0;2023
901544345;GRUPO IMSA S.A.;SUPERFINANCIERA;Región Andina;ANTIOQUIA;MEDELLIN;6613;SERVICIOS;6;9;41;2;39;2023
900159568;GALLINA COLOMBIANA GALLICOL SAS;SUPERSOCIEDADES;Región Andina;BOGOTA D.C.;BOGOTA D.C.;4631;COMERCIO;6;0;2;1;0;2023
800083329;INGENIERIAS Y SERVICIOS SAS INCER SAS;SUPERSOCIEDADES;Región Andina;BOGOTA D.C.;BOGOTA D.C.;4220;CONSTRUCCIÓN;6;0;4;3;1;2023
890208890;ALDIA SAS;SUPERSOCIEDADES;Región Andina;SANTANDER;BUCARAMANGA;4663;COMERCIO;6;1;11;10;1;2023
901280096;MOLINOS VESGA SAS ZOMAC;SUPERSOCIEDADES;Región Caribe;CESAR;AGUACHICA;1051;MANUFACTURA;6;0;2;1;1;2023
830109997;OTTO BOCK HELTHCARE ANDINA SAS;SUPERSOCIEDADES;Región Andina;BOGOTA D.C.;BOGOTA D.C.;4645;COMERCIO;6;0;7;5;2;2023
830073570;Innovateq S.A.S.;SUPERSOCIEDADES;Región Andina;CUNDINAMARCA;COTA ;4530;COMERCIO;6;0;4;2;2;2023
900526085;EQUIPOS Y SERVICIOS TREX DE COLOMBIA S.A.S;SUPERSOCIEDADES;Región Caribe;ATLANTICO;MALAMBO;4659;COMERCIO;6;0;4;4;1;2023
802000979;DISTRIBUCIONES DIAZ RAMOS S.A.S.;SUPERSOCIEDADES;Región Caribe;ATLANTICO;MALAMBO;4663;COMERCIO;6;0;2;1;1;2023
830037495;OBIPROSA COLOMBIA SAS;SUPERSOCIEDADES;Región Andina;BOGOTA D.C.;BOGOTA D.C.;4663;COMERCIO;6;0;6;3;3;2023
800112061;BOTERO INGENIEROS SAS;SUPERSOCIEDADES;Región Andina;BOGOTA D.C.;BOGOTA D.C.;4312;CONSTRUCCIÓN;6;0;4;1;3;2023
830079234;SEIKOU S.A;SUPERSOCIEDADES;Región Andina;BOGOTA D.C.;BOGOTA D.C.;4690;COMERCIO;6;0;8;3;4;2023
811012295;HOTEL DANN CARLTON MEDELLIN S.A.S.;SUPERSOCIEDADES;Región Andina;ANTIOQUIA;MEDELLIN;5512;SERVICIOS;6;1;12;3;9;2023
890204942;PRODUCTORA AVICOLA DE LOS ANDES PROANDES LTDA.;SUPERSOCIEDADES;Región Andina;SANTANDER;FLORIDABLANCA;145;AGROPECUARIO;6;0;3;1;2;2023
830130106;SOENERGY INTERNATIONAL COLOMBIA SAS;SUPERSOCIEDADES;Región Andina;CUNDINAMARCA;COTA ;7730;SERVICIOS;6;2;14;1;13;2023
830080396;SABAMA LIMITADA;SUPERSOCIEDADES;Región Andina;BOGOTA D.C.;BOGOTA D.C.;4645;COMERCIO;6;1;3;2;1;2023
805030670;ABC INGENIERIAY REPRESENTACIONES SAS;SUPERSOCIEDADES;Región Pacífica;VALLE DEL CAUCA;CALI;4659;COMERCIO;6;0;4;2;2;2023
860004902;PROVEEDORA DE PAPELES ANDINA S.A.S.;SUPERSOCIEDADES;Región Pacífica;VALLE DEL CAUCA;YUMBO;4669;COMERCIO;6;0;5;3;1;2023
811023478;MILFORT SAS;SUPERSOCIEDADES;Región Andina;ANTIOQUIA;LA ESTRELLA;2221;MANUFACTURA;6;0;3;2;1;2023
900969185;AUTOCOLOMBIANA SAS;SUPERSOCIEDADES;Región Andina;BOGOTA D.C.;BOGOTA D.C.;4511;COMERCIO;6;0;17;12;4;2023
900362742;HASBRO COLOMBIA SAS;SUPERSOCIEDADES;Región Andina;BOGOTA D.C.;BOGOTA D.C.;4649;COMERCIO;6;1;5;1;4;2023
860351923;FLEXPORT DE COLOMBIA SAS;SUPERSOCIEDADES;Región Andina;BOGOTA D.C.;BOGOTA D.C.;125;AGROPECUARIO;6;0;4;2;3;2023
890304855;OBYCO SA;SUPERSOCIEDADES;Región Pacífica;VALLE DEL CAUCA;CALI;4530;COMERCIO;6;1;4;1;4;2023
901230636;SISTEMA INTEGRADO DE PROVISIÓN DE FLOTA SI2018  NORTE S.A.S.;SUPERTRANSPORTE;Región Andina;BOGOTA D.C.;BOGOTA D.C.;5229;SERVICIOS;6;1;21;19;1;2023
830040045;IMPORTADORA MONTECARLO MOTORS SAS;SUPERSOCIEDADES;Región Andina;BOGOTA D.C.;BOGOTA D.C.;4653;COMERCIO;6;0;5;3;2;2023
830012863;GODDARD CATERING GROUP BOGOTA SAS;SUPERSOCIEDADES;Región Andina;BOGOTA D.C.;BOGOTA D.C.;1089;MANUFACTURA;6;1;3;2;1;2023
900471195;IDEAS MUSICALES DE COLOMBIA SAS;SUPERSOCIEDADES;Región Andina;BOGOTA D.C.;BOGOTA D.C.;6209;SERVICIOS;6;1;5;4;1;2023
901423025;C.I MARKETS AND BUSINESS S.A.S.;SUPERSOCIEDADES;Región Pacífica;CAUCA;POPAYAN;4631;COMERCIO;6;0;8;8;0;2023
830100582;COMPANIA DE VIGILANCIA PPH LTDA;SUPERVIGILANCIA;Región Andina;BOGOTA D.C.;BOGOTA D.C.;8010;SERVICIOS;6;0;1;0;0;2023
890941567;SOLDADURAS INDUSTRALES SAS;SUPERSOCIEDADES;Región Andina;ANTIOQUIA;ENVIGADO;4752;COMERCIO;6;1;3;1;2;2023
804005810;EMPRESA DE SOLUCIONES ,SERVICIOS E INNOVACION ESSI SAS;SUPERSOCIEDADES;Región Andina;SANTANDER;GIRON;7111;SERVICIOS;6;1;5;5;0;2023
901650026;TOP HIDRO & CIA. S.C.A;SUPERSOCIEDADES;Región Andina;BOGOTA D.C.;BOGOTA D.C.;4290;CONSTRUCCIÓN;6;5;25;6;19;2023
901030700;COMERCIALIZADORA DE CONCENTRADOS AGROVET SAS;SUPERSOCIEDADES;Región Andina;BOGOTA D.C.;BOGOTA D.C.;4620;COMERCIO;6;0;0;0;0;2023
805017506;CUTIS SA;SUPERSOCIEDADES;Región Pacífica;VALLE DEL CAUCA;CALI;4773;COMERCIO;6;0;1;0;1;2023
890403515;C. I DISTRICANDELARIA SAS;SUPERSOCIEDADES;Región Caribe;BOLIVAR;CARTAGENA;4731;COMERCIO;6;0;3;1;1;2023
900682082;INTERDOORS SAS;SUPERSOCIEDADES;Región Andina;ANTIOQUIA;GIRARDOTA ;1630;MANUFACTURA;6;0;2;2;0;2023
900443000;NOVOTECHNO DE COLOMBIA SAS;SUPERSOCIEDADES;Región Andina;ANTIOQUIA;MEDELLIN;4651;COMERCIO;6;0;3;1;2;2023
900298862;ACEITES MORICHAL SAS;SUPERSOCIEDADES;Región Andina;BOGOTA D.C.;BOGOTA D.C.;1031;MANUFACTURA;6;0;2;1;1;2023
900816647;SOLUCIONES ALIMENTARIAS INDUSTRIALES INTEGRA SAS;SUPERSOCIEDADES;Región Andina;ANTIOQUIA;ITAGUI;4669;COMERCIO;6;0;2;1;1;2023
800072618;CHAMELA SAS;SUPERSOCIEDADES;Región Andina;ANTIOQUIA;MEDELLIN;1410;MANUFACTURA;6;0;2;1;1;2023
901248066;LAS CARNES DEL SEBASTIAN S.A.S.;SUPERSOCIEDADES;Región Pacífica;NARIÑO;PASTO ;1011;MANUFACTURA;6;0;2;1;2;2023
800151054;CONSTRUCTORA DE OBRAS DE VIVIENDA E INGENIERIA SAS;SUPERSOCIEDADES;Región Caribe;ATLANTICO;BARRANQUILLA;4290;CONSTRUCCIÓN;6;0;6;4;2;2023
890107274;890107274;SUPERSOCIEDADES;Región Caribe;ATLANTICO;BARRANQUILLA;4220;CONSTRUCCIÓN;6;0;4;2;2;2023
901364919;ARROZ RAMOS SAS;SUPERSOCIEDADES;Región Andina;NORTE DE SANTANDER;CUCUTA;1051;MANUFACTURA;6;0;1;1;0;2023
901255527;ATP FIBER COLOMBIA SAS;SUPERSOCIEDADES;Región Andina;BOGOTA D.C.;BOGOTA D.C.;6120;SERVICIOS;6;0;52;48;3;2023
901150944;PETROLEOS Y BIOCOMBUSTIBLES SAS;SUPERSOCIEDADES;Región Caribe;ATLANTICO;BARRANQUILLA;4661;COMERCIO;6;0;2;2;0;2023
813010186;PETROL SERVICES Y CIA S.A.S.;SUPERTRANSPORTE;Región Andina;BOGOTA D.C.;BOGOTA D.C.;4923;SERVICIOS;6;0;6;2;4;2023
830103718;Multiobras Sistema Drywall S.A.S;SUPERSOCIEDADES;Región Andina;BOGOTA D.C.;BOGOTA D.C.;4663;COMERCIO;6;0;2;1;1;2023
900851719;MERZ COLOMBIA SAS;SUPERSOCIEDADES;Región Andina;BOGOTA D.C.;BOGOTA D.C.;4645;COMERCIO;6;0;3;2;1;2023
901033366;Ilumno Servicios de Colombia SAS;SUPERSOCIEDADES;Región Andina;BOGOTA D.C.;BOGOTA D.C.;8299;SERVICIOS;6;0;3;1;3;2023
900040916;COMPUORIENTE IMPORT AND EXPORT LTDA;SUPERSOCIEDADES;Región Caribe;ATLANTICO;BARRANQUILLA;4651;COMERCIO;6;0;5;3;2;2023
811036520;A. FEDERICO U. E HIJO S.A.S.;SUPERSOCIEDADES;Región Andina;ANTIOQUIA;MEDELLIN;7490;SERVICIOS;6;4;28;4;24;2023
811036519;A. FELIPE U. E HIJOS S.A.S.;SUPERSOCIEDADES;Región Andina;ANTIOQUIA;MEDELLIN;7490;SERVICIOS;6;4;29;4;24;2023
811036543;JUAN F. U. E HIJOS S.A.S.;SUPERSOCIEDADES;Región Andina;ANTIOQUIA;MEDELLIN;7490;SERVICIOS;6;4;28;4;24;2023
901242222;LA CASA DEL AGRO M.C.U S.A.S;SUPERSOCIEDADES;Región Andina;ANTIOQUIA;MARINILLA;4664;COMERCIO;6;0;1;1;0;2023
800099860;E.S.E. HOSPITAL SAN RAFAEL DE PACHO;SUPERSALUD;Región Andina;CUNDINAMARCA;PACHO;8610;SERVICIOS;6;1;7;0;6;2023
901315814;MAZCARNES SAS;SUPERSOCIEDADES;Región Andina;ANTIOQUIA;SABANETA;4723;COMERCIO;6;0;1;0;1;2023
900939798;RENTING AUTOMAYOR SAS;SUPERSOCIEDADES;Región Andina;BOGOTA D.C.;BOGOTA D.C.;7710;SERVICIOS;6;1;21;19;2;2023
800206234;CASAUTOS SA;SUPERSOCIEDADES;Región Andina;CALDAS;MANIZALES;4511;COMERCIO;6;1;4;1;2;2023
900508664;EXTRACTORA SABANA S.A.S.;SUPERSOCIEDADES;Región Andina;SANTANDER;BUCARAMANGA;1031;MANUFACTURA;6;0;5;2;3;2023
901113085;CREDIMOTOS DE COLOMBIA SAS;SUPERSOCIEDADES;Región Andina;BOGOTA D.C.;BOGOTA D.C.;4541;COMERCIO;6;0;2;1;1;2023
900013025;FRUANDINA SAS;SUPERSOCIEDADES;Región Andina;CUNDINAMARCA;COTA ;4631;COMERCIO;6;0;2;1;1;2023
900054845;SU PAPA SUPERMERCADOS SA;SUPERSOCIEDADES;Región Pacífica;VALLE DEL CAUCA;CALI;4711;COMERCIO;6;0;2;1;0;2023
900798269;HOTELES CHARLESTON BOGOTA SAS;SUPERSOCIEDADES;Región Andina;BOGOTA D.C.;BOGOTA D.C.;5511;SERVICIOS;6;0;2;1;0;2023
890115294;HOT AMERICA´S FAVORITE PIZZAS SAS;SUPERSOCIEDADES;Región Caribe;ATLANTICO;BARANOA;5611;SERVICIOS;6;0;3;2;1;2023
900979154;UNIMINEX S.A.S;SUPERSOCIEDADES;Región Andina;BOGOTA D.C.;BOGOTA D.C.;510;MINERO;6;0;3;3;0;2023
810002942;COMESTIBLES MAPY SAS;SUPERSOCIEDADES;Región Andina;CALDAS;MANIZALES;1089;MANUFACTURA;6;0;3;1;2;2023
900725066;UNI2 MICROCREDITO SAS;SUPERSOCIEDADES;Región Pacífica;VALLE DEL CAUCA;CALI;4799;COMERCIO;6;0;16;15;1;2023
900405027;CASA BLANCA SAS;SUPERSOCIEDADES;Región Pacífica;VALLE DEL CAUCA;BUENAVENTURA;4711;COMERCIO;6;0;2;1;0;2023
900049519;INVGROUP 18 S.A.;SUPERSOCIEDADES;Región Pacífica;VALLE DEL CAUCA;YUMBO;6810;SERVICIOS;6;1;87;28;59;2023
900112872;PM&F FISHING OIL SERVICES SA;SUPERSOCIEDADES;Región Andina;BOGOTA D.C.;BOGOTA D.C.;910;MINERO;6;2;4;1;3;2023
900321578;ALTAMIRA WATER LTDA;SUPERSOCIEDADES;Región Andina;CUNDINAMARCA;COTA ;4659;COMERCIO;6;0;3;3;0;2023
900868270;PROVEFABRICA S.A.S.;SUPERSOCIEDADES;Región Andina;CUNDINAMARCA;TENJO;4690;COMERCIO;6;0;4;3;1;2023
830053180;CONSERVAS DELCASINO SAS;SUPERSOCIEDADES;Región Andina;BOGOTA D.C.;BOGOTA D.C.;1089;MANUFACTURA;6;0;3;1;2;2023
900260749;TELEMARK SPAIN S.L. SUCURSAL COLOMBIA ZONA FRANCA PERMANENTE ESPECIAL;SUPERSOCIEDADES;Región Andina;RISARALDA;PEREIRA;8220;SERVICIOS;6;0;4;3;2;2023
900123883;AGROQUIMICOS ORIENTE S.A.S.;SUPERSOCIEDADES;Región Andina;CUNDINAMARCA;FUSAGASUGA;4664;COMERCIO;6;0;2;1;1;2023
901352572;SCHEFFER COLOMBIA SAS;SUPERSOCIEDADES;Región Andina;BOGOTA D.C.;BOGOTA D.C.;161;AGROPECUARIO;6;1;6;3;2;2023
891300047;CLINICA PALMIRA S.A.;SUPERSALUD;Región Pacífica;VALLE DEL CAUCA;PALMIRA;8610;SERVICIOS;6;0;5;3;2;2023
901237665;ELITE NUT SAS;SUPERSOCIEDADES;Región Pacífica;VALLE DEL CAUCA;YUMBO;4631;COMERCIO;6;0;3;2;0;2023
901056434;GRUPO EMPRESARIAL PAPIS SAS;SUPERSOCIEDADES;Región Caribe;BOLIVAR;TURBANA;4723;COMERCIO;6;0;1;1;1;2023
800006608;MIPKO CONSTRUCTORES S.A.S.;SUPERSOCIEDADES;Región Caribe;MAGDALENA;SANTA MARTA;4111;CONSTRUCCIÓN;6;0;13;9;4;2023
901193667;NETCOL INGENIERIA SAS BIC;SUPERSOCIEDADES;Región Andina;BOGOTA D.C.;BOGOTA D.C.;6190;SERVICIOS;5;0;2;1;1;2023
900477132;Agroinsumos San Miguel SAS;SUPERSOCIEDADES;Región Andina;CUNDINAMARCA;FACATATIVA;4664;COMERCIO;5;0;3;1;1;2023
844004197;RED SALUD CASANARE E.S.E.;SUPERSALUD;Región Orinoquía;CASANARE;VILLANUEVA;8621;SERVICIOS;5;0;10;2;7;2023
811035407;TECHNO FOOD SAS;SUPERSOCIEDADES;Región Andina;ANTIOQUIA;MEDELLIN;4659;COMERCIO;5;1;6;2;4;2023
901156552;URBAELITE SAS;SUPERSOCIEDADES;Región Andina;SANTANDER;BUCARAMANGA;4111;CONSTRUCCIÓN;5;1;2;1;1;2023
900566739;GELVEZ DISTRIBUCIONES S.A.S;SUPERSOCIEDADES;Región Andina;NORTE DE SANTANDER;CUCUTA;4631;COMERCIO;5;0;2;1;2;2023
830103701;INVERSIONES ALDEMAR S A;SUPERSOCIEDADES;Región Andina;BOGOTA D.C.;BOGOTA D.C.;2920;MANUFACTURA;5;0;7;1;6;2023
900496494;BLUECARE SALUD SAS SIGLA BLUECARE;SUPERSALUD;Región Andina;BOGOTA D.C.;BOGOTA D.C.;8621;SERVICIOS;5;0;2;2;1;2023
900027833;MATHIESEN COLOMBIA SAS;SUPERSOCIEDADES;Región Andina;CUNDINAMARCA;FUNZA ;4664;COMERCIO;5;0;3;2;2;2023
901345953;CARVAJAL SERVICIOS COMPARTIDOS S.A.S;SUPERSOCIEDADES;Región Pacífica;VALLE DEL CAUCA;CALI;6920;SERVICIOS;5;0;3;1;1;2023
890320240;ESPUMAS DEL VALLE S.A.;SUPERSOCIEDADES;Región Pacífica;VALLE DEL CAUCA;CALI;2029;MANUFACTURA;5;0;7;4;3;2023
900247961;CONSTRUCTORA MATICCES P & B LTDA;SUPERSOCIEDADES;Región Andina;NORTE DE SANTANDER;CUCUTA;4290;CONSTRUCCIÓN;5;0;2;0;1;2023
